,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1725,0,1,203610000.0,99.82,0.0,16.99,3.93,2.43,11.44,0.0,19.23,2.03,0.0,7.08,14.8,0.99,3.83,0.0,11.05,40.99,0
1726,0,1,89680000.0,99.86,0.0,16.45,3.74,2.02,12.26,0.0,30.97,3.27,0.0,11.41,23.95,1.59,6.2,0.0,17.73,4.89,0
1727,-1,1,38110000.0,100.0,0.0,13.02,2.32,1.09,7.34,2.68,24.25,18.72,0.97,4.2,6.86,0.76,2.43,4.49,15.09,19.56,0
1728,0,1,2390000000.0,99.93,0.0,17.94,4.28,3.7,10.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0
1729,0,1,10280000000.0,99.54,0.0,18.32,4.97,2.45,11.68,2.55,12.85,20.4,2.68,7.2,14.36,3.19,0.0,5.36,10.53,20.89,0
1730,1,1,224420000.0,99.93,0.0,16.71,3.2,1.91,9.32,1.76,11.28,15.28,3.98,10.52,12.76,4.08,2.86,2.85,12.01,22.62,0
1731,-1,0,100410000.0,99.91,0.0,10.08,2.1,0.73,4.98,5.11,55.74,2.65,0.0,2.62,5.24,0.0,0.0,2.48,10.23,15.94,0
1732,-1,1,4040000.0,99.51,0.0,11.93,2.75,1.02,5.63,1.87,37.42,20.11,3.97,9.76,7.81,0.0,0.0,0.0,3.92,15.14,0
1733,1,1,15420000.0,99.41,0.0,15.85,2.32,1.58,8.64,3.16,11.39,15.74,4.19,10.42,13.06,4.24,4.42,2.62,12.5,18.27,0
1734,-1,1,26980000.0,47.04,51.27,15.96,1.88,1.2,8.59,4.4,10.44,15.08,7.01,15.66,7.38,9.53,1.91,5.31,12.43,10.85,0
1735,1,1,16190000.0,51.74,41.74,21.08,2.43,2.96,9.38,1.12,5.03,5.27,41.28,7.45,4.21,15.04,4.71,1.25,3.41,11.21,0
1736,0,1,463660000.0,99.75,0.0,19.1,4.54,3.51,14.66,0.0,19.37,1.25,0.0,6.74,9.26,0.32,4.37,0.0,3.72,54.97,0
1737,-1,1,9500000.0,49.04,0.0,13.72,1.93,1.01,6.31,3.31,10.61,18.12,3.57,9.29,10.96,4.76,5.55,9.1,10.53,14.2,0
1739,1,1,117280000.0,99.78,0.0,13.98,1.47,0.97,6.83,3.41,14.47,15.84,4.71,16.75,7.57,10.08,8.05,1.97,15.1,2.07,0
1740,-1,1,112850000.0,99.81,0.0,15.64,2.35,1.38,7.91,4.56,14.1,16.61,0.0,15.01,11.47,18.85,1.85,2.76,9.83,4.97,0
1741,1,1,109140000.0,99.76,0.0,14.26,2.98,0.98,8.43,0.0,92.1,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,1.61,0
1743,-1,1,1710000000.0,99.73,0.0,10.44,1.67,0.97,6.18,6.07,16.73,5.37,5.12,14.51,0.92,17.2,4.9,16.22,1.03,11.93,0
1744,-1,1,728120000.0,99.63,0.0,12.32,2.2,1.02,6.03,4.1,12.28,29.03,0.0,2.02,9.94,0.0,0.0,2.07,12.25,28.31,0
1745,-1,1,12690000.0,99.84,0.0,7.9,0.97,0.41,3.31,9.33,10.14,18.24,4.2,6.08,1.26,3.36,5.13,17.35,8.56,16.34,0
1746,1,0,1690000000.0,98.34,0.0,27.21,1.57,6.39,8.61,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1747,-1,1,12340000.0,99.96,0.0,10.72,1.05,0.5,4.61,9.01,17.62,17.61,1.54,9.59,4.43,5.84,4.88,8.65,15.49,5.34,0
1748,1,0,565750000.0,99.8,0.0,18.49,2.43,1.78,10.94,5.95,13.42,26.71,5.67,9.1,1.95,9.86,1.56,2.01,19.58,4.2,0
